# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:20:53
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.0300000e+02	2.4562560e-01	-1.0300000e+02	2.4567094e-01	-1.0300000e+02	1.6005400e-01	-1.0300000e+02	1.2962827e-01	-1.0300000e+02	1.0373604e-01	-1.0300000e+02	1.2684608e-01	-1.0300000e+02	1.2311467e-01	-1.0300000e+02	1.2204296e-01	END	END
-1.0200000e+02	2.1691610e-01	-1.0200000e+02	2.1697155e-01	-1.0200000e+02	1.4135109e-01	-1.0200000e+02	1.1440153e-01	-1.0200000e+02	9.1507152e-02	-1.0200000e+02	1.1209624e-01	-1.0200000e+02	1.0876729e-01	-1.0200000e+02	1.0780907e-01	END	END
-1.0100000e+02	1.8797836e-01	-1.0100000e+02	1.8804365e-01	-1.0100000e+02	1.2259355e-01	-1.0100000e+02	9.9184670e-02	-1.0100000e+02	7.9344712e-02	-1.0100000e+02	9.7361468e-02	-1.0100000e+02	9.4443269e-02	-1.0100000e+02	9.3600929e-02	END	END
-1.0000000e+02	1.5884934e-01	-1.0000000e+02	1.5892425e-01	-1.0000000e+02	1.0379733e-01	-1.0000000e+02	8.3986066e-02	-1.0000000e+02	6.7250624e-02	-1.0000000e+02	8.2649574e-02	-1.0000000e+02	8.0149479e-02	-1.0000000e+02	7.9425134e-02	END	END
-9.9000000e+01	1.2956597e-01	-9.9000000e+01	1.2965031e-01	-9.9000000e+01	8.4978022e-02	-9.9000000e+01	6.8813540e-02	-9.9000000e+01	5.5226069e-02	-9.9000000e+01	6.7967825e-02	-9.9000000e+01	6.5892182e-02	-9.9000000e+01	6.5287672e-02	END	END
-9.8000000e+01	1.0016510e-01	-9.8000000e+01	1.0025869e-01	-9.8000000e+01	6.6150844e-02	-9.8000000e+01	5.3674437e-02	-9.8000000e+01	4.3271594e-02	-9.8000000e+01	5.3322919e-02	-9.8000000e+01	5.1677104e-02	-9.8000000e+01	5.1193956e-02	END	END
-9.7000000e+01	7.0683450e-02	-9.7000000e+01	7.0786148e-02	-9.7000000e+01	4.7330655e-02	-9.7000000e+01	3.8575642e-02	-9.7000000e+01	3.1387188e-02	-9.7000000e+01	3.8721096e-02	-9.7000000e+01	3.7509460e-02	-9.7000000e+01	3.7148930e-02	END	END
-9.6000000e+01	4.1157581e-02	-9.6000000e+01	4.1269243e-02	-9.6000000e+01	2.8531976e-02	-9.6000000e+01	2.3523627e-02	-9.6000000e+01	1.9572331e-02	-9.6000000e+01	2.4168126e-02	-9.6000000e+01	2.3394007e-02	-9.6000000e+01	2.3157051e-02	END	END
-9.5000000e+01	1.1623817e-02	-9.5000000e+01	1.1744341e-02	-9.5000000e+01	9.7690104e-03	-9.5000000e+01	8.5244933e-03	-9.5000000e+01	7.8260656e-03	-9.5000000e+01	9.6693942e-03	-9.5000000e+01	9.3351044e-03	-9.5000000e+01	9.2223883e-03	END	END
-9.4000000e+01	-1.7881764e-02	-9.4000000e+01	-1.7752459e-02	-9.4000000e+01	-8.9443428e-03	-9.4000000e+01	-6.4159846e-03	-9.4000000e+01	-3.8529374e-03	-9.4000000e+01	-4.7700685e-03	-9.4000000e+01	-4.6632430e-03	-9.4000000e+01	-4.6513495e-03	END	END
-9.3000000e+01	-4.7323395e-02	-9.3000000e+01	-4.7185365e-02	-9.3000000e+01	-2.7594466e-02	-9.3000000e+01	-2.1292318e-02	-9.3000000e+01	-1.5466305e-02	-9.3000000e+01	-1.9145530e-02	-9.3000000e+01	-1.8597327e-02	-9.3000000e+01	-1.8460751e-02	END	END
-9.2000000e+01	-7.6665647e-02	-9.2000000e+01	-7.6518923e-02	-9.2000000e+01	-4.6168011e-02	-9.2000000e+01	-3.6099259e-02	-9.2000000e+01	-2.7015902e-02	-9.2000000e+01	-3.3452511e-02	-9.2000000e+01	-3.2463692e-02	-9.2000000e+01	-3.2202646e-02	END	END
-9.1000000e+01	-1.0587348e-01	-9.1000000e+01	-1.0571808e-01	-9.1000000e+01	-6.4651869e-02	-9.1000000e+01	-5.0831761e-02	-9.1000000e+01	-3.8503751e-02	-9.1000000e+01	-4.7686726e-02	-9.1000000e+01	-4.6259072e-02	-9.1000000e+01	-4.5874070e-02	END	END
-9.0000000e+01	-1.3491230e-01	-9.0000000e+01	-1.3474818e-01	-9.0000000e+01	-8.3033159e-02	-9.0000000e+01	-6.5484926e-02	-9.0000000e+01	-4.9931981e-02	-9.0000000e+01	-6.1844051e-02	-9.0000000e+01	-5.9980348e-02	-9.0000000e+01	-5.9472181e-02	END	END
-8.9000000e+01	-1.6374792e-01	-8.9000000e+01	-1.6357507e-01	-8.9000000e+01	-1.0129920e-01	-8.9000000e+01	-8.0053963e-02	-8.9000000e+01	-6.1302736e-02	-8.9000000e+01	-7.5920455e-02	-8.9000000e+01	-7.3624484e-02	-8.9000000e+01	-7.2994240e-02	END	END
-8.8000000e+01	-1.9234672e-01	-8.8000000e+01	-1.9216505e-01	-8.8000000e+01	-1.1943751e-01	-8.8000000e+01	-9.4534166e-02	-8.8000000e+01	-7.2618134e-02	-8.8000000e+01	-8.9911968e-02	-8.8000000e+01	-8.7188490e-02	-8.8000000e+01	-8.6437531e-02	END	END
-8.7000000e+01	-2.2067559e-01	-8.7000000e+01	-2.2048499e-01	-8.7000000e+01	-1.3743575e-01	-8.7000000e+01	-1.0892083e-01	-8.7000000e+01	-8.3880186e-02	-8.7000000e+01	-1.0381461e-01	-8.7000000e+01	-1.0066935e-01	-8.7000000e+01	-9.9799320e-02	END	END
-8.6000000e+01	-2.4870194e-01	-8.6000000e+01	-2.4850233e-01	-8.6000000e+01	-1.5528174e-01	-8.6000000e+01	-1.2320927e-01	-8.6000000e+01	-9.5090739e-02	-8.6000000e+01	-1.1762438e-01	-8.6000000e+01	-1.1406402e-01	-8.6000000e+01	-1.1307682e-01	END	END
-8.5000000e+01	-2.7639386e-01	-8.5000000e+01	-2.7618507e-01	-8.5000000e+01	-1.7296341e-01	-8.5000000e+01	-1.3739470e-01	-8.5000000e+01	-1.0625140e-01	-8.5000000e+01	-1.3133717e-01	-8.5000000e+01	-1.2736930e-01	-8.5000000e+01	-1.2626712e-01	END	END
-8.4000000e+01	-3.0372006e-01	-8.4000000e+01	-3.0350190e-01	-8.4000000e+01	-1.9046883e-01	-8.4000000e+01	-1.5147226e-01	-8.4000000e+01	-1.1736351e-01	-8.4000000e+01	-1.4494875e-01	-8.4000000e+01	-1.4058188e-01	-8.4000000e+01	-1.3936713e-01	END	END
-8.3000000e+01	-3.3064985e-01	-8.3000000e+01	-3.3042216e-01	-8.3000000e+01	-2.0778611e-01	-8.3000000e+01	-1.6543695e-01	-8.3000000e+01	-1.2842803e-01	-8.3000000e+01	-1.5845472e-01	-8.3000000e+01	-1.5369819e-01	-8.3000000e+01	-1.5237358e-01	END	END
-8.2000000e+01	-3.5715330e-01	-8.2000000e+01	-3.5691586e-01	-8.2000000e+01	-2.2490348e-01	-8.2000000e+01	-1.7928363e-01	-8.2000000e+01	-1.3944554e-01	-8.2000000e+01	-1.7185046e-01	-8.2000000e+01	-1.6671449e-01	-8.2000000e+01	-1.6528292e-01	END	END
-8.1000000e+01	-3.8320115e-01	-8.1000000e+01	-3.8295373e-01	-8.1000000e+01	-2.4180917e-01	-8.1000000e+01	-1.9300692e-01	-8.1000000e+01	-1.5041620e-01	-8.1000000e+01	-1.8513109e-01	-8.1000000e+01	-1.7962669e-01	-8.1000000e+01	-1.7809135e-01	END	END
-8.0000000e+01	-4.0876496e-01	-8.0000000e+01	-4.0850726e-01	-8.0000000e+01	-2.5849149e-01	-8.0000000e+01	-2.0660122e-01	-8.0000000e+01	-1.6133958e-01	-8.0000000e+01	-1.9829144e-01	-8.0000000e+01	-1.9243041e-01	-8.0000000e+01	-1.9079466e-01	END	END
-7.9000000e+01	-4.3381694e-01	-7.9000000e+01	-4.3354872e-01	-7.9000000e+01	-2.7493876e-01	-7.9000000e+01	-2.2006066e-01	-7.9000000e+01	-1.7221479e-01	-7.9000000e+01	-2.1132605e-01	-7.9000000e+01	-2.0512091e-01	-7.9000000e+01	-2.0338836e-01	END	END
-7.8000000e+01	-4.5833024e-01	-7.8000000e+01	-4.5805115e-01	-7.8000000e+01	-2.9113933e-01	-7.8000000e+01	-2.3337908e-01	-7.8000000e+01	-1.8304029e-01	-7.8000000e+01	-2.2422904e-01	-7.8000000e+01	-2.1769305e-01	-7.8000000e+01	-2.1586750e-01	END	END
-7.7000000e+01	-4.8227873e-01	-7.7000000e+01	-4.8198843e-01	-7.7000000e+01	-3.0708146e-01	-7.7000000e+01	-2.4654998e-01	-7.7000000e+01	-1.9381396e-01	-7.7000000e+01	-2.3699422e-01	-7.7000000e+01	-2.3014127e-01	-7.7000000e+01	-2.2822674e-01	END	END
-7.6000000e+01	-5.0563711e-01	-7.6000000e+01	-5.0533527e-01	-7.6000000e+01	-3.2275352e-01	-7.6000000e+01	-2.5956655e-01	-7.6000000e+01	-2.0453295e-01	-7.6000000e+01	-2.4961494e-01	-7.6000000e+01	-2.4245955e-01	-7.6000000e+01	-2.4046020e-01	END	END
-7.5000000e+01	-5.2838099e-01	-7.5000000e+01	-5.2806717e-01	-7.5000000e+01	-3.3814377e-01	-7.5000000e+01	-2.7242154e-01	-7.5000000e+01	-2.1519378e-01	-7.5000000e+01	-2.6208413e-01	-7.5000000e+01	-2.5464141e-01	-7.5000000e+01	-2.5256163e-01	END	END
-7.4000000e+01	-5.5048686e-01	-7.4000000e+01	-5.5016071e-01	-7.4000000e+01	-3.5324043e-01	-7.4000000e+01	-2.8510746e-01	-7.4000000e+01	-2.2579217e-01	-7.4000000e+01	-2.7439427e-01	-7.4000000e+01	-2.6667991e-01	-7.4000000e+01	-2.6452416e-01	END	END
-7.3000000e+01	-5.7193202e-01	-7.3000000e+01	-5.7159305e-01	-7.3000000e+01	-3.6803174e-01	-7.3000000e+01	-2.9761624e-01	-7.3000000e+01	-2.3632315e-01	-7.3000000e+01	-2.8653738e-01	-7.3000000e+01	-2.7856749e-01	-7.3000000e+01	-2.7634048e-01	END	END
-7.2000000e+01	-5.9269470e-01	-7.2000000e+01	-5.9234256e-01	-7.2000000e+01	-3.8250586e-01	-7.2000000e+01	-3.0993953e-01	-7.2000000e+01	-2.4678096e-01	-7.2000000e+01	-2.9850498e-01	-7.2000000e+01	-2.9029617e-01	-7.2000000e+01	-2.8800270e-01	END	END
-7.1000000e+01	-6.1275417e-01	-7.1000000e+01	-6.1238831e-01	-7.1000000e+01	-3.9665091e-01	-7.1000000e+01	-3.2206848e-01	-7.1000000e+01	-2.5715902e-01	-7.1000000e+01	-3.1028810e-01	-7.1000000e+01	-3.0185741e-01	-7.1000000e+01	-2.9950234e-01	END	END
-7.0000000e+01	-6.3209051e-01	-7.0000000e+01	-6.3171041e-01	-7.0000000e+01	-4.1045490e-01	-7.0000000e+01	-3.3399385e-01	-7.0000000e+01	-2.6745003e-01	-7.0000000e+01	-3.2187727e-01	-7.0000000e+01	-3.1324205e-01	-7.0000000e+01	-3.1083047e-01	END	END
-6.9000000e+01	-6.5068471e-01	-6.9000000e+01	-6.5028989e-01	-6.9000000e+01	-4.2390585e-01	-6.9000000e+01	-3.4570596e-01	-6.9000000e+01	-2.7764583e-01	-6.9000000e+01	-3.3326253e-01	-6.9000000e+01	-3.2444045e-01	-6.9000000e+01	-3.2197750e-01	END	END
-6.8000000e+01	-6.6851890e-01	-6.8000000e+01	-6.6810876e-01	-6.8000000e+01	-4.3699175e-01	-6.8000000e+01	-3.5719460e-01	-6.8000000e+01	-2.8773740e-01	-6.8000000e+01	-3.4443340e-01	-6.8000000e+01	-3.3544242e-01	-6.8000000e+01	-3.3293325e-01	END	END
-6.7000000e+01	-6.8557596e-01	-6.7000000e+01	-6.8514991e-01	-6.7000000e+01	-4.4970042e-01	-6.7000000e+01	-3.6844927e-01	-6.7000000e+01	-2.9771504e-01	-6.7000000e+01	-3.5537890e-01	-6.7000000e+01	-3.4623715e-01	-6.7000000e+01	-3.4368712e-01	END	END
-6.6000000e+01	-7.0183992e-01	-6.6000000e+01	-7.0139736e-01	-6.6000000e+01	-4.6201977e-01	-6.6000000e+01	-3.7945890e-01	-6.6000000e+01	-3.0756816e-01	-6.6000000e+01	-3.6608753e-01	-6.6000000e+01	-3.5681337e-01	-6.6000000e+01	-3.5422778e-01	END	END
-6.5000000e+01	-7.1729565e-01	-6.5000000e+01	-7.1683598e-01	-6.5000000e+01	-4.7393754e-01	-6.5000000e+01	-3.9021209e-01	-6.5000000e+01	-3.1728539e-01	-6.5000000e+01	-3.7654734e-01	-6.5000000e+01	-3.6715925e-01	-6.5000000e+01	-3.6454347e-01	END	END
-6.4000000e+01	-7.3192918e-01	-6.4000000e+01	-7.3145163e-01	-6.4000000e+01	-4.8544157e-01	-6.4000000e+01	-4.0069693e-01	-6.4000000e+01	-3.2685462e-01	-6.4000000e+01	-3.8674590e-01	-6.4000000e+01	-3.7726235e-01	-6.4000000e+01	-3.7462184e-01	END	END
-6.3000000e+01	-7.4572730e-01	-6.3000000e+01	-7.4523121e-01	-6.3000000e+01	-4.9651954e-01	-6.3000000e+01	-4.1090116e-01	-6.3000000e+01	-3.3626288e-01	-6.3000000e+01	-3.9667031e-01	-6.3000000e+01	-3.8710988e-01	-6.3000000e+01	-3.8445002e-01	END	END
-6.2000000e+01	-7.5867802e-01	-6.2000000e+01	-7.5816262e-01	-6.2000000e+01	-5.0715917e-01	-6.2000000e+01	-4.2081210e-01	-6.2000000e+01	-3.4549659e-01	-6.2000000e+01	-4.0630722e-01	-6.2000000e+01	-3.9668840e-01	-6.2000000e+01	-3.9401469e-01	END	END
-6.1000000e+01	-7.7077025e-01	-6.1000000e+01	-7.7023470e-01	-6.1000000e+01	-5.1734829e-01	-6.1000000e+01	-4.3041667e-01	-6.1000000e+01	-3.5454139e-01	-6.1000000e+01	-4.1564286e-01	-6.1000000e+01	-4.0598416e-01	-6.1000000e+01	-4.0330201e-01	END	END
-6.0000000e+01	-7.8199393e-01	-6.0000000e+01	-7.8143740e-01	-6.0000000e+01	-5.2707452e-01	-6.0000000e+01	-4.3970147e-01	-6.0000000e+01	-3.6338228e-01	-6.0000000e+01	-4.2466313e-01	-6.0000000e+01	-4.1498289e-01	-6.0000000e+01	-4.1229770e-01	END	END
-5.9000000e+01	-7.9233992e-01	-5.9000000e+01	-7.9176158e-01	-5.9000000e+01	-5.3632563e-01	-5.9000000e+01	-4.4865277e-01	-5.9000000e+01	-3.7200353e-01	-5.9000000e+01	-4.3335348e-01	-5.9000000e+01	-4.2366987e-01	-5.9000000e+01	-4.2098701e-01	END	END
-5.8000000e+01	-8.0180031e-01	-5.8000000e+01	-8.0119908e-01	-5.8000000e+01	-5.4508948e-01	-5.8000000e+01	-4.5725653e-01	-5.8000000e+01	-3.8038889e-01	-5.8000000e+01	-4.4169912e-01	-5.8000000e+01	-4.3203014e-01	-5.8000000e+01	-4.2935494e-01	END	END
-5.7000000e+01	-8.1036800e-01	-5.7000000e+01	-8.0974281e-01	-5.7000000e+01	-5.5335397e-01	-5.7000000e+01	-4.6549839e-01	-5.7000000e+01	-3.8852152e-01	-5.7000000e+01	-4.4968489e-01	-5.7000000e+01	-4.4004831e-01	-5.7000000e+01	-4.3738604e-01	END	END
-5.6000000e+01	-8.1803691e-01	-5.6000000e+01	-8.1738669e-01	-5.6000000e+01	-5.6110692e-01	-5.6000000e+01	-4.7336373e-01	-5.6000000e+01	-3.9638403e-01	-5.6000000e+01	-4.5729545e-01	-5.6000000e+01	-4.4770870e-01	-5.6000000e+01	-4.4506451e-01	END	END
-5.5000000e+01	-8.2480216e-01	-5.5000000e+01	-8.2412565e-01	-5.5000000e+01	-5.6833655e-01	-5.5000000e+01	-4.8083782e-01	-5.5000000e+01	-4.0395865e-01	-5.5000000e+01	-4.6451515e-01	-5.5000000e+01	-4.5499539e-01	-5.5000000e+01	-4.5237446e-01	END	END
-5.4000000e+01	-8.3065969e-01	-5.4000000e+01	-8.2995552e-01	-5.4000000e+01	-5.7503104e-01	-5.4000000e+01	-4.8790565e-01	-5.4000000e+01	-4.1122711e-01	-5.4000000e+01	-4.7132832e-01	-5.4000000e+01	-4.6189228e-01	-5.4000000e+01	-4.5929959e-01	END	END
-5.3000000e+01	-8.3560652e-01	-5.3000000e+01	-8.3487326e-01	-5.3000000e+01	-5.8117867e-01	-5.3000000e+01	-4.9455211e-01	-5.3000000e+01	-4.1817084e-01	-5.3000000e+01	-4.7771907e-01	-5.3000000e+01	-4.6838313e-01	-5.3000000e+01	-4.6582362e-01	END	END
-5.2000000e+01	-8.3964074e-01	-5.2000000e+01	-8.3887672e-01	-5.2000000e+01	-5.8676809e-01	-5.2000000e+01	-5.0076199e-01	-5.2000000e+01	-4.2477095e-01	-5.2000000e+01	-4.8367146e-01	-5.2000000e+01	-4.7445157e-01	-5.2000000e+01	-4.7193000e-01	END	END
-5.1000000e+01	-8.4276140e-01	-5.1000000e+01	-8.4196490e-01	-5.1000000e+01	-5.9178805e-01	-5.1000000e+01	-5.0652009e-01	-5.1000000e+01	-4.3100837e-01	-5.1000000e+01	-4.8916960e-01	-5.1000000e+01	-4.8008123e-01	-5.1000000e+01	-4.7760227e-01	END	END
-5.0000000e+01	-8.4496868e-01	-5.0000000e+01	-8.4413761e-01	-5.0000000e+01	-5.9622765e-01	-5.0000000e+01	-5.1181108e-01	-5.0000000e+01	-4.3686387e-01	-5.0000000e+01	-4.9419761e-01	-5.0000000e+01	-4.8525575e-01	-5.0000000e+01	-4.8282394e-01	END	END
-4.9000000e+01	-8.4626365e-01	-4.9000000e+01	-8.4539580e-01	-4.9000000e+01	-6.0007608e-01	-4.9000000e+01	-5.1661986e-01	-4.9000000e+01	-4.4231820e-01	-4.9000000e+01	-4.9873978e-01	-4.9000000e+01	-4.8995885e-01	-4.9000000e+01	-4.8757860e-01	END	END
-4.8000000e+01	-8.4664851e-01	-4.8000000e+01	-8.4574139e-01	-4.8000000e+01	-6.0332316e-01	-4.8000000e+01	-5.2093124e-01	-4.8000000e+01	-4.4735211e-01	-4.8000000e+01	-5.0278062e-01	-4.8000000e+01	-4.9417454e-01	-4.8000000e+01	-4.9185008e-01	END	END
-4.7000000e+01	-8.4612650e-01	-4.7000000e+01	-8.4517717e-01	-4.7000000e+01	-6.0595894e-01	-4.7000000e+01	-5.2473044e-01	-4.7000000e+01	-4.5194641e-01	-4.7000000e+01	-5.0630480e-01	-4.7000000e+01	-4.9788699e-01	-4.7000000e+01	-4.9562240e-01	END	END
-4.6000000e+01	-8.4470189e-01	-4.6000000e+01	-8.4370714e-01	-4.6000000e+01	-6.0797381e-01	-4.6000000e+01	-5.2800268e-01	-4.6000000e+01	-4.5608225e-01	-4.6000000e+01	-5.0929761e-01	-4.6000000e+01	-5.0108075e-01	-4.6000000e+01	-4.9888000e-01	END	END
-4.5000000e+01	-8.4238005e-01	-4.5000000e+01	-8.4133619e-01	-4.5000000e+01	-6.0935879e-01	-4.5000000e+01	-5.3073364e-01	-4.5000000e+01	-4.5974106e-01	-4.5000000e+01	-5.1174462e-01	-4.5000000e+01	-5.0374091e-01	-4.5000000e+01	-5.0160772e-01	END	END
-4.4000000e+01	-8.3916748e-01	-4.4000000e+01	-8.3807015e-01	-4.4000000e+01	-6.1010540e-01	-4.4000000e+01	-5.3290939e-01	-4.4000000e+01	-4.6290478e-01	-4.4000000e+01	-5.1363206e-01	-4.4000000e+01	-5.0585306e-01	-4.4000000e+01	-5.0379097e-01	END	END
-4.3000000e+01	-8.3507180e-01	-4.3000000e+01	-8.3391607e-01	-4.3000000e+01	-6.1020571e-01	-4.3000000e+01	-5.3451633e-01	-4.3000000e+01	-4.6555591e-01	-4.3000000e+01	-5.1494682e-01	-4.3000000e+01	-5.0740355e-01	-4.3000000e+01	-5.0541610e-01	END	END
-4.2000000e+01	-8.3010179e-01	-4.2000000e+01	-8.2888186e-01	-4.2000000e+01	-6.0965246e-01	-4.2000000e+01	-5.3554165e-01	-4.2000000e+01	-4.6767777e-01	-4.2000000e+01	-5.1567674e-01	-4.2000000e+01	-5.0837964e-01	-4.2000000e+01	-5.0646996e-01	END	END
-4.1000000e+01	-8.2426751e-01	-4.1000000e+01	-8.2297659e-01	-4.1000000e+01	-6.0843921e-01	-4.1000000e+01	-5.3597313e-01	-4.1000000e+01	-4.6925470e-01	-4.1000000e+01	-5.1581067e-01	-4.1000000e+01	-5.0876951e-01	-4.1000000e+01	-5.0694084e-01	END	END
-4.0000000e+01	-8.1758022e-01	-4.0000000e+01	-8.1621045e-01	-4.0000000e+01	-6.0656035e-01	-4.0000000e+01	-5.3579921e-01	-4.0000000e+01	-4.7027221e-01	-4.0000000e+01	-5.1533872e-01	-4.0000000e+01	-5.0856286e-01	-4.0000000e+01	-5.0681800e-01	END	END
-3.9000000e+01	-8.1005269e-01	-3.9000000e+01	-8.0859458e-01	-3.9000000e+01	-6.0401118e-01	-3.9000000e+01	-5.3500944e-01	-3.9000000e+01	-4.7071728e-01	-3.9000000e+01	-5.1425248e-01	-3.9000000e+01	-5.0775075e-01	-3.9000000e+01	-5.0609255e-01	END	END
-3.8000000e+01	-8.0169910e-01	-3.8000000e+01	-8.0014145e-01	-3.8000000e+01	-6.0078830e-01	-3.8000000e+01	-5.3359449e-01	-3.8000000e+01	-4.7057876e-01	-3.8000000e+01	-5.1254529e-01	-3.8000000e+01	-5.0632614e-01	-3.8000000e+01	-5.0475729e-01	END	END
-3.7000000e+01	-7.9253536e-01	-3.7000000e+01	-7.9086477e-01	-3.7000000e+01	-5.9688926e-01	-3.7000000e+01	-5.3154629e-01	-3.7000000e+01	-4.6984768e-01	-3.7000000e+01	-5.1021284e-01	-3.7000000e+01	-5.0428432e-01	-3.7000000e+01	-5.0280738e-01	END	END
-3.6000000e+01	-7.8257912e-01	-3.6000000e+01	-7.8077948e-01	-3.6000000e+01	-5.9231329e-01	-3.6000000e+01	-5.2885830e-01	-3.6000000e+01	-4.6851790e-01	-3.6000000e+01	-5.0725323e-01	-3.6000000e+01	-5.0162333e-01	-3.6000000e+01	-5.0024080e-01	END	END
-3.5000000e+01	-7.7185029e-01	-3.5000000e+01	-7.6990199e-01	-3.5000000e+01	-5.8706135e-01	-3.5000000e+01	-5.2552587e-01	-3.5000000e+01	-4.6658668e-01	-3.5000000e+01	-5.0366807e-01	-3.5000000e+01	-4.9834475e-01	-3.5000000e+01	-4.9705908e-01	END	END
-3.4000000e+01	-7.6037091e-01	-3.4000000e+01	-7.5825024e-01	-3.4000000e+01	-5.8113623e-01	-3.4000000e+01	-5.2154654e-01	-3.4000000e+01	-4.6405566e-01	-3.4000000e+01	-4.9946305e-01	-3.4000000e+01	-4.9445438e-01	-3.4000000e+01	-4.9326816e-01	END	END
-3.3000000e+01	-7.4816632e-01	-3.3000000e+01	-7.4584389e-01	-3.3000000e+01	-5.7454318e-01	-3.3000000e+01	-5.1692063e-01	-3.3000000e+01	-4.6093196e-01	-3.3000000e+01	-4.9464893e-01	-3.3000000e+01	-4.8996365e-01	-3.3000000e+01	-4.8887959e-01	END	END
-3.2000000e+01	-7.3526490e-01	-3.2000000e+01	-7.3270476e-01	-3.2000000e+01	-5.6729043e-01	-3.2000000e+01	-5.1165164e-01	-3.2000000e+01	-4.5722979e-01	-3.2000000e+01	-4.8924318e-01	-3.2000000e+01	-4.8489106e-01	-3.2000000e+01	-4.8391214e-01	END	END
-3.1000000e+01	-7.2169960e-01	-3.1000000e+01	-7.1885669e-01	-3.1000000e+01	-5.5938959e-01	-3.1000000e+01	-5.0574720e-01	-3.1000000e+01	-4.5297265e-01	-3.1000000e+01	-4.8327193e-01	-3.1000000e+01	-4.7926432e-01	-3.1000000e+01	-4.7839397e-01	END	END
-3.0000000e+01	-7.0750850e-01	-3.0000000e+01	-7.0432639e-01	-3.0000000e+01	-5.5085683e-01	-3.0000000e+01	-4.9922010e-01	-3.0000000e+01	-4.4819632e-01	-3.0000000e+01	-4.7677258e-01	-3.0000000e+01	-4.7312355e-01	-3.0000000e+01	-4.7236586e-01	END	END
-2.9000000e+01	-6.9273645e-01	-2.9000000e+01	-6.8914366e-01	-2.9000000e+01	-5.4171365e-01	-2.9000000e+01	-4.9208963e-01	-2.9000000e+01	-4.4295305e-01	-2.9000000e+01	-4.6979797e-01	-2.9000000e+01	-4.6652529e-01	-2.9000000e+01	-4.6588549e-01	END	END
-2.8000000e+01	-6.7743719e-01	-2.8000000e+01	-6.7334247e-01	-2.8000000e+01	-5.3198886e-01	-2.8000000e+01	-4.8438349e-01	-2.8000000e+01	-4.3731788e-01	-2.8000000e+01	-4.6242172e-01	-2.8000000e+01	-4.5954889e-01	-2.8000000e+01	-4.5903373e-01	END	END
-2.7000000e+01	-6.6167593e-01	-2.7000000e+01	-6.5696150e-01	-2.7000000e+01	-5.2172023e-01	-2.7000000e+01	-4.7614059e-01	-2.7000000e+01	-4.3139738e-01	-2.7000000e+01	-4.5474640e-01	-2.7000000e+01	-4.5230532e-01	-2.7000000e+01	-4.5192397e-01	END	END
-2.6000000e+01	-6.4553338e-01	-2.6000000e+01	-6.4004594e-01	-2.6000000e+01	-5.1095790e-01	-2.6000000e+01	-4.6741462e-01	-2.6000000e+01	-4.2534313e-01	-2.6000000e+01	-4.4691563e-01	-2.6000000e+01	-4.4495064e-01	-2.6000000e+01	-4.4471571e-01	END	END
-2.5000000e+01	-6.2911171e-01	-2.5000000e+01	-6.2264884e-01	-2.5000000e+01	-4.9976841e-01	-2.5000000e+01	-4.5827955e-01	-2.5000000e+01	-4.1937181e-01	-2.5000000e+01	-4.3913212e-01	-2.5000000e+01	-4.3770617e-01	-2.5000000e+01	-4.3763551e-01	END	END
-2.4000000e+01	-6.1254221e-01	-2.4000000e+01	-6.0483420e-01	-2.4000000e+01	-4.8824069e-01	-2.4000000e+01	-4.4883728e-01	-2.4000000e+01	-4.1379619e-01	-2.4000000e+01	-4.3168554e-01	-2.4000000e+01	-4.3088949e-01	-2.4000000e+01	-4.3100893e-01	END	END
-2.3000000e+01	-5.9599811e-01	-2.3000000e+01	-5.8668017e-01	-2.3000000e+01	-4.7649509e-01	-2.3000000e+01	-4.3922928e-01	-2.3000000e+01	-4.0907392e-01	-2.3000000e+01	-4.2499569e-01	-2.3000000e+01	-4.2496336e-01	-2.3000000e+01	-4.2531076e-01	END	END
-2.2000000e+01	-5.7971221e-01	-2.2000000e+01	-5.6828469e-01	-2.2000000e+01	-4.6469653e-01	-2.2000000e+01	-4.2965391e-01	-2.2000000e+01	-4.0588519e-01	-2.2000000e+01	-4.1968149e-01	-2.2000000e+01	-4.2061293e-01	-2.2000000e+01	-4.2124492e-01	END	END
